guid_site_id;code_module;code_presentation;activity_type;week_from;week_to
D2EC23AC-B720-44D2-95FA-1DD146FAC4C7;CG0C8;2024J;oucontent;3;8
D2EC23AC-B720-44D2-95FA-1DD146FAC4C7;EG043;2024J;oucontent;3;9
9C9FFCAF-60F3-4C55-A462-168703C13753;CG0C8;2024J;oucontent;3;8
9C9FFCAF-60F3-4C55-A462-168703C13753;EG043;2024J;oucontent;3;9
4983F29A-1C52-4380-B9FD-4AAED690A8A9;CG0C8;2024J;oucontent;3;8
4983F29A-1C52-4380-B9FD-4AAED690A8A9;EG043;2024J;oucontent;3;9
D381AE00-4DBE-418F-AE81-1C666A09A87C;CG0C8;2024J;forumng;2;7
D381AE00-4DBE-418F-AE81-1C666A09A87C;EG043;2024J;forumng;1;8
07BF0877-2895-4FEB-B340-CD8DB4F44721;CG0C8;2024J;url;2;5
07BF0877-2895-4FEB-B340-CD8DB4F44721;EG043;2024J;url;1;8
6DCDDAFF-0C64-4013-A05A-01D9A9878C5B;CG0C8;2024J;url;2;5
6DCDDAFF-0C64-4013-A05A-01D9A9878C5B;EG043;2024J;url;1;8
A6398201-A1C3-4708-AD0A-0687880A3F72;CG0C8;2024J;forumng;2;5
A6398201-A1C3-4708-AD0A-0687880A3F72;EG043;2024J;forumng;1;8
D2B04716-A026-421E-9085-CFDEC1268C89;CG0C8;2024J;url;2;5
D2B04716-A026-421E-9085-CFDEC1268C89;EG043;2024J;url;1;8
74046080-2D84-494A-9E38-0A4278B936EF;CG0C8;2024J;resource;2;8
74046080-2D84-494A-9E38-0A4278B936EF;EG043;2024J;resource;1;9
EBB89B77-E138-4C4C-9D28-0302738E40C0;EG043;2024J;url;1;2
C116654B-876F-4458-BF3A-74D16810CF7D;EG043;2024J;url;1;2
817803B4-85B6-4E86-A833-CD54ED2F1685;EG043;2024J;url;1;2
441C98F4-705E-4D36-8D69-63F2E1D55D73;EG043;2024J;url;1;2
AC523AB7-7E02-4AEF-A82C-64D75D98DA2E;EG043;2024J;url;1;2
2C41C002-B1AD-40D9-8C8F-0CED39DAAB23;EG043;2024J;url;1;2
7466852E-0521-41DD-9DCE-87923107749D;EG043;2024J;url;1;2
11B95D12-C300-484C-B517-9F8DF8C8D997;EG043;2024J;url;1;2
4EF2A085-B766-4438-93D4-F73487CADDE5;EG043;2024J;url;1;2
ACE14905-BCA2-4B5F-A177-F67FC80A7F16;EG043;2024J;url;1;2
6EE79C7E-A8FA-457D-A76E-5364DCBC92DA;EG043;2024J;url;1;2
AD1909C3-AF2D-43D1-9AB3-302CE49A800F;EG043;2024J;url;1;2
AABB68CA-B19A-4ABF-A2F7-291E3E962E3E;EG043;2024J;url;1;2
C6A22936-E0E9-4EF8-9337-2E5B9D946A30;EG043;2024J;url;1;2
302C36E0-7363-4530-A37D-0D1CA243D71D;CG0C8;2024J;oucontent;3;8
302C36E0-7363-4530-A37D-0D1CA243D71D;EG043;2024J;oucontent;3;6
BF1F5FF4-ECA0-4372-99EC-B7BEC4A7B8F2;CG0C8;2024J;oucontent;3;8
BF1F5FF4-ECA0-4372-99EC-B7BEC4A7B8F2;EG043;2024J;oucontent;3;6
45CB57E2-6CB4-4952-BCDB-7CFE5AA1440D;CG0C8;2024J;oucontent;3;8
45CB57E2-6CB4-4952-BCDB-7CFE5AA1440D;EG043;2024J;oucontent;3;7
AD29D32E-AF37-4DF3-98A5-1DA9177EBC30;CG0C8;2024J;url;3;8
AD29D32E-AF37-4DF3-98A5-1DA9177EBC30;EG043;2024J;url;3;8
82F8A325-BC6B-473A-8686-7B44C7455C48;CG0C8;2024J;resource;3;8
82F8A325-BC6B-473A-8686-7B44C7455C48;EG043;2024J;resource;3;7
9735B937-17BD-4D36-A6ED-AA02B3D44E50;CG0C8;2024J;page;3;8
9735B937-17BD-4D36-A6ED-AA02B3D44E50;EG043;2024J;page;3;7
D8B536B8-C15A-4D3E-B340-2FC079EDA5F9;CG0C8;2024J;url;3;8
D8B536B8-C15A-4D3E-B340-2FC079EDA5F9;EG043;2024J;url;3;9
A20A5D78-787A-4865-83AF-4C766A930165;CG0C8;2024J;url;3;6
A20A5D78-787A-4865-83AF-4C766A930165;EG043;2024J;url;3;6
0D0A1002-8497-467E-B1C9-2F367CE2BCC7;CG0C8;2024J;oucontent;3;8
0D0A1002-8497-467E-B1C9-2F367CE2BCC7;EG043;2024J;oucontent;3;8
54418885-5D13-412D-8F26-44F45A2653E0;CG0C8;2024J;oucontent;3;8
54418885-5D13-412D-8F26-44F45A2653E0;EG043;2024J;oucontent;3;8
21A9062C-1E3E-450E-8F55-49E23BD69CB8;CG0C8;2024J;oucontent;3;8
21A9062C-1E3E-450E-8F55-49E23BD69CB8;EG043;2024J;oucontent;3;7
64C1E460-180E-416C-A568-949F837856DC;CG0C8;2024J;oucontent;3;8
64C1E460-180E-416C-A568-949F837856DC;EG043;2024J;oucontent;3;7
C97C3D51-D024-4A35-9C68-0D922E4D549E;EG043;2024J;forumng;3;7
